"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"41794",0,0,1,16,4,11,1955,6,1560,39,25280.220703125,5976,2,1,192546.34375,6,1,14,17,0,0,0,0,0,3,45,0,1,NA,1
"41829",1,0,1,12,12,9,1965,23,3060,37,35418.390625,7002,0,1,41885.76171875,9,1,NA,NA,NA,NA,NA,NA,0,3,23,0,1,1,0
"41831",0,0,1,12,3,12,1958,43,2040,36,48298.390625,6728,2,NA,91959.9765625,9,2,12,14,0,0,0,0,0,4,43,0,1,NA,1
"41849",0,0,1,12,12,11,1947,NA,1814,46,8048.39013671875,5855,0,1,48298.390625,9,4,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"41850",1,0,1,16,9,8,1949,NA,2400,44,106256.78125,5057,1,1,106738.171875,17,3,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"41856",0,0,1,12,9,12,1935,NA,0,58,0,3876,0,0,2406.94995117188,15,3,NA,NA,NA,NA,NA,NA,0,2,13,0,0,1,0
"41859",0,0,1,13,11,9,1945,NA,2062,48,33256.16015625,4176,0,1,52275.08984375,13,2,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"41870",0,0,1,17,12,11,1957,45,60,36,1608.39001464844,6387,1,1,231835.171875,12,1,12,14,48298.390625,9499,0,0,0,4,2,0,1,NA,1
"41887",1,0,1,17,4,8,1939,NA,3000,55,144896.78125,5879,0,1,410013.875,28,1,NA,NA,NA,NA,NA,NA,0,4,5,0,0,1,0
"41892",1,0,1,14,2,9,1969,16,3036,25,37026.78125,2822,2,1,37369.7109375,2,1,17,17,100623.390625,46139.37890625,0,0,0,3,45,0,1,1,0
"41895",0,0,1,14,11,11,1955,20,1936,38,33808.390625,5501,1,1,46686.78125,13,2,12,13,43468.390625,0,0,0,0,1,20,0,1,NA,1
"41898",0,0,1,12,8,10,1950,NA,1960,43,20928.390625,11798,2,1,113501.78125,3,2,8,NA,NA,0,0,NA,0,1,37,0,1,NA,1
"41909",0,0,1,16,8,8,1965,34,2000,28,61178.390625,11806,1,1,128798.390625,8,2,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"41918",0,0,1,12,4,12,1963,13,0,30,0,3877,2,NA,31866.73046875,6,3,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"41951",1,0,1,12,9,6,1966,21,1320,27,27048,5847,1,1,34347.73828125,3,1,10,10,0,0,0,0,0,3,47,0,1,1,0
"41955",1,0,1,12,2,10,1951,31,780,43,16100,16172,0,0,55757.51953125,25,1,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"41958",1,1,0,11,6,7,1939,NA,NA,55,0,11834,0,NA,39449.828125,NA,NA,8,NA,NA,0,0,NA,0,3,3,0,0,NA,0
"41979",1,0,1,12,5,8,1950,NA,3640,44,32198.390625,12438,1,1,32198.390625,17,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"42002",0,0,1,15,10,10,1933,NA,NA,60,NA,5037,0,NA,27044.779296875,NA,NA,13,14,0,0,0,0,0,3,9,NA,NA,NA,0
"42010",1,0,1,12,2,10,1939,NA,1868,55,49908.390625,878,4,1,53759.51171875,37,2,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
